,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
5,1478244052,62.72727273,19.97619957,17.775,1930,60.48851555,592.2986149,116.7485942,PA,96.06675698,24.72,45.46,2014
89,1508244421,63.41463415,20.50078425,18.59512195,1810,59.74607867,591.2169849,114.3650136,PA,100,25.1,45.5,2015
68,1502542424,63.66666667,25.7605197,23.64,480,25.01729555,299.505418,57.98030489,PA,99.66302736,25.03,45.32,2013
120,1518242421,63.68421053,22.74467565,17.92631579,740,30.06637687,286.1787225,57.82738517,PA,80.53288194,25.23,45.32,2014
58,1462542424,64.85294118,17.04189903,17.37941176,1550,35.35554656,366.9630009,85.44672091,PA,52.21550516,24.52,45.32,2014
54,1492544424,66.36363636,19.44537967,20.32727273,430,12.77000865,155.649236,30.1087882,PA,100,24.9,45.5,2015
77,1506244021,66.66666667,22.60177335,17.27,1260,50.55282823,483.9333184,93.61206112,PA,100,25.08,45.46,2016
103,1496542824,68,28.99831622,29.1,640,42.26836201,633.1030339,134.6432975,PA,74.71303972,24.95,45.35,2017
31,1498244821,69.28571429,32.6938746,25.98928571,710,59.60476983,782.9746321,152.4838582,PA,90.50072597,24.98,45.53,2015
14,1506243221,69.375,29.54378876,25.96875,440,30.16302797,386.4627496,80.26424131,PA,83.65049981,25.08,45.39,2015
23,1508544424,70,18.32702208,16.40930233,1910,50.38567194,479.4487451,92.74456524,PA,100,25.11,45.5,2015
62,1508244452,70,24.96764017,20.81904762,720,35.2514813,375.0378635,72.54732431,PA,100,25.1,45.5,2015
66,1506544024,70,24.94503243,14.6375,280,13.6840943,115.0876606,22.26255706,PA,100,25.08,45.46,2016
73,1514244021,70,22.15486548,11.45,310,11.95060275,88.8729263,17.29863981,PA,92.67873874,25.18,45.46,2017
75,1502242452,70,38.5,16.9,20,2.328312855,16.80526883,3.250811203,PA,100,25.03,45.32,2013
26,1476545253,70.85714286,26.49747293,23.71142857,1120,61.76135538,753.6059443,145.7775339,PA,100,24.7,45.57,2016
9,1522543253,71.25,26.40283159,17.11875,620,33.94552909,391.8675052,79.60216734,PA,83.86598243,25.29,45.39,2015
16,1518542453,72.09677419,25.92423577,21.73870968,1100,58.06233423,718.5490777,138.9961336,PA,100,25.23,45.32,2014
67,1474544024,72.85714286,24.11703607,20.41428571,980,44.76760107,498.0315793,96.33922869,PA,100,24.67,45.46,2016
92,1524242852,72.94117647,25.47176676,22.97352941,1220,62.16813665,754.9947875,146.0461917,PA,100,25.31,45.35,2014
44,1478244021,74.8,33.06112862,25.3,620,53.22515333,630.00449,121.8680685,PA,100,24.72,45.46,2014
51,1506244852,75.35714286,28.17509756,14.47857143,490,30.5503942,234.4086063,45.3440008,PA,100,25.08,45.54,2014
97,1476245252,77.94117647,23.02017967,16.37058824,1280,53.27424072,464.1843355,89.79181785,PA,100,24.69,45.57,2016
117,1502544853,78.46153846,32.8834945,25.44615385,760,64.54452372,764.2506247,147.8366408,PA,100,25.03,45.54,2016
20,1462544853,78.61111111,21.87731562,21.33611111,1470,55.25801511,649.485483,125.7179823,PA,98.79439716,24.52,45.54,2017
