,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
870,1538532024,15,6.768828957,7.788636364,2200,7.916617138,43.65555609,12.46802682,AC,98.15422009,25.48,44.38,2014
869,1507230621,23,8.99255506,8.074418605,2150,13.65508955,74.53942921,20.80162737,AC,57.31729763,25.09,44.26,2014
868,1500232421,29,13.3034582,7.935,1000,13.90013378,94.52809121,27.35727516,AC,49.54006622,25,44.42,2016
864,1520542024,33,13.03226765,8.95,200,2.667840481,14.34697521,3.932537714,AC,52.0254357,25.26,45.28,2015
866,1510532053,39,18.51572989,13.48125,710,19.11744738,153.1021804,43.63411634,AC,34.63192197,25.13,44.38,2017
865,1470244052,45,18.37491703,11.07333333,660,17.50187551,126.8952832,32.37942857,AC,78.68845663,24.62,45.46,2015
867,1478236052,57,34.41603309,14.73333333,60,5.58165196,41.83551619,11.94822342,AC,76.81960044,24.72,44.74,2014
