,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
501,1488238852,90,33.31005139,21.93333333,210,18.30036626,219.5039124,61.73892653,QR,74.28837568,24.85,45,2014
454,1490230052,94,50.15375734,24.54,160,31.60944079,486.175944,142.103555,QR,95.00018697,24.88,44.2,2014
472,1490230021,95,37.87325354,27.31666667,150,16.89843053,233.4768946,65.57328511,QR,91.61945641,24.88,44.2,2014
489,1488230021,99.33333333,25.9498876,17.92666667,480,25.38645625,266.3535827,77.76611578,QR,89.79234762,24.85,44.2,2016
447,1510536853,100,20.32788793,22.76538462,1090,35.37536215,440.5415181,128.3593202,QR,74.67205542,25.13,44.82,2015
488,1496529653,100,24.13009014,18.35,320,14.63382132,176.6491305,51.09313422,QR,40.00468316,24.96,44.17,2017
498,1471227021,100,28.89151043,20.38,320,20.97878605,241.0316644,69.91054568,QR,63.35169432,24.64,43.93,2015
468,1481528224,102.2222222,46.74800225,23.24444444,210,36.04419152,427.6222209,125.182129,QR,96.26174805,24.77,44.04,2014
500,1543229021,102.3529412,27.22396153,14.88823529,490,28.52256683,270.2295424,79.07595311,QR,98.68775669,25.54,44.11,2015
442,1503529424,110,28.69147874,17.76666667,210,13.57735084,203.1595326,59.11714723,QR,70.97903551,25.04,44.15,2017
456,1473527053,110,30.37998244,17.98888889,270,19.57170597,205.9866894,60.14138474,QR,93.19861102,24.67,43.93,2017
476,1519228652,110.5,44.45810041,24.6,260,40.3612896,549.1681154,158.470185,QR,80.69680624,25.24,44.08,2011
483,1473227052,111.6666667,39.42051074,19.9,120,14.64588504,170.3406691,49.56821293,QR,68.48772933,24.66,43.93,2017
495,1505229452,117.2222222,48.52775838,26.38888889,240,44.38963605,730.4967315,190.7109866,QR,55.8510167,25.06,44.15,2011
453,1483537853,120,36.6647961,21.97272727,220,23.22796219,272.6143267,79.80511799,QR,100,24.79,44.9,2016
457,1543529024,120,26.72379957,13.53,410,22.99694517,187.4477813,54.87346349,QR,100,25.54,44.11,2015
464,1471227052,120,37.71650587,22.95833333,270,30.16591823,367.7405442,107.3145683,QR,83.5419692,24.64,43.93,2015
482,1471527024,120,42.81413318,24.85,40,5.758696414,74.61502592,21.84280269,QR,100,24.64,43.93,2015
485,1543229052,120,38.87344852,14.7,80,9.494804061,82.03958548,24.01626825,QR,100,25.54,44.11,2015
480,1473527453,125,42.36824282,19.6,200,28.19686221,311.3871025,90.88102861,QR,88.81914223,24.67,43.97,2017
