,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
287,1490544024,63.15789474,19.72953588,16.56052632,1570,47.9980144,459.7549989,121.0916419,FS,82.75603487,24.88,45.46,2016
268,1508245221,63.33333333,24.91739293,13.40833333,510,24.86939722,322.871755,91.05952108,FS,100,25.1,45.57,2016
244,1522541653,63.5,25.94014184,21.895,730,38.5795746,461.9349474,130.8113855,FS,58.01429785,25.28,45.25,2014
230,1476245221,63.51351351,23.74666744,19.28108108,1400,62.00450679,638.5812575,168.1752191,FS,51.12700449,24.69,45.57,2016
209,1494241652,64,22.77949858,24.3,1260,51.35098126,717.7803822,202.4356012,FS,100,24.93,45.25,2017
275,1472242821,64.0625,19.58820548,15.278125,1360,40.98435382,405.3166374,114.8853655,FS,60.35342058,24.64,45.35,2015
301,1492244421,64.21052632,24.76913727,18.93157895,620,29.87468474,351.9796679,99.26882573,FS,100,24.9,45.5,2015
267,1476540453,64.28571429,23.14150512,22.13809524,810,34.06889943,379.618385,107.0637731,FS,100,24.7,45.14,2017
271,1488242052,64.66666667,26.6293401,14.02,570,31.74574664,410.6038722,115.8026101,FS,100,24.85,45.28,2015
180,1484539624,64.81481481,23.16207189,26.12222222,1080,45.50597744,611.2264998,172.3842097,FS,100,24.8,45.07,2015
382,1462542453,65,20.47520752,17.9037037,1140,37.53629095,392.2221522,111.081509,FS,56.6763781,24.52,45.32,2014
410,1478240052,65.23809524,20.69902804,19.43333333,840,28.26630711,350.4355661,97.12777362,FS,73.60169231,24.72,45.1,2015
392,1488242021,66.31578947,24.62935109,16.56842105,770,36.68483295,481.419687,130.7901474,FS,90.58072222,24.85,45.28,2015
213,1504241221,68,27.13768216,18.51,290,16.77387424,157.2115245,44.54278947,FS,88.42331861,25.05,45.21,2017
322,1510540053,68,28.22928998,26.56,320,20.02810084,306.4673716,86.59125496,FS,87.16501835,25.13,45.1,2016
259,1472539624,68.125,23.9981108,18.55,590,26.6867693,310.3727369,87.53442299,FS,100,24.65,45.07,2016
296,1492242052,68.125,22.98778791,21.425,560,23.24193442,342.0417304,94.48263128,FS,92.08173473,24.9,45.28,2015
193,1498543253,68.46153846,33.38930565,22.80769231,820,71.79901879,896.7427012,226.0497108,FS,62.48757989,24.98,45.39,2014
194,1500242852,68.51851852,25.44818046,24.31851852,900,45.77684556,659.3462121,185.9554122,FS,100,25,45.36,2015
222,1458244021,68.57142857,32.97444523,20.86428571,520,44.40667134,732.5411334,206.5985759,FS,100,24.47,45.46,2016
404,1484238852,68.57142857,22.5920993,21.89285714,610,24.45304195,302.0928803,85.55015312,FS,93.30621407,24.8,45,2017
307,1502543253,68.88888889,27.68709229,21.71111111,630,37.93019954,497.872905,140.6257119,FS,84.46967723,25.03,45.39,2017
376,1518243252,68.96551724,27.68359992,22.80689655,880,52.96850092,708.6775224,200.6481186,FS,58.16385554,25.23,45.39,2017
333,1462243221,69.41176471,26.56658214,17.57058824,1430,79.26788829,1094.432809,308.6628851,FS,100,24.52,45.39,2015
196,1510538453,70,21.17492968,20.28,850,29.93317334,323.6325896,91.27409924,FS,100,25.13,44.96,2017
316,1500542853,70,30.62641046,25.26666667,570,41.99106933,567.4742409,160.1270734,FS,94.00639165,25,45.36,2015
332,1462243252,70,21.0198852,20.13870968,1220,42.33605548,500.3854712,140.3428298,FS,89.30439834,24.52,45.39,2015
364,1488538053,70,19.5268571,17.875,1080,32.34285345,351.7235597,100.7532795,FS,62.11870352,24.85,44.92,2017
396,1482240852,70,28.56550685,28.25294118,550,35.24815906,616.5839511,173.8951717,FS,100,24.77,45.18,2017
273,1474243252,70.43478261,22.51674629,19.06956522,880,35.04159149,488.7761338,137.849533,FS,100,24.67,45.39,2015
349,1486238452,70.58823529,24.4245014,21.50588235,670,31.39179125,427.628017,119.2714697,FS,44.06957532,24.82,44.96,2016
234,1480240452,70.83333333,23.63215941,17.59166667,480,21.05416071,311.3523505,87.81603817,FS,99.23243833,24.75,45.14,2015
300,1494539224,70.83333333,33.08912208,28.78333333,270,23.21796407,334.2039877,94.25555064,FS,100,24.93,45.03,2015
299,1512243652,70.90909091,49.35295385,14.80909091,370,70.78119775,903.096736,254.7003725,FS,100,25.15,45.43,2015
