,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
981,1540225652,20,10.53867164,9.736,1250,10.90364343,59.90110956,17.10775689,RP,100,25.5,43.81,2016
985,1509233852,20,8.771884198,8.838095238,2100,12.69097403,68.91683298,19.6826475,RP,91.430596,25.12,44.55,2015
965,1484236421,20.41666667,12.08435628,10.74583333,2400,27.52632067,168.4078233,48.09727433,RP,90.57510357,24.8,44.78,2014
924,1505534253,20.58823529,9.596302392,11.12745098,2550,18.44326945,117.6732461,33.60747908,RP,100,25.07,44.58,2015
908,1472236421,20.66666667,14.04664847,11.61666667,1500,23.24484039,162.9243115,46.53118336,RP,82.07323563,24.65,44.78,2015
894,1472541253,21,14.85184613,9.886666667,750,12.99307744,87.1600108,24.6742957,RP,93.94014495,24.65,45.21,2017
955,1476539653,21,14.1537807,11.98,1220,19.19528819,140.4644514,39.95246509,RP,87.40263574,24.7,45.07,2013
976,1487236652,21.11111111,14.15061562,11.48888889,1290,20.28758069,130.7668061,37.34699981,RP,100,24.84,44.8,2014
881,1484539653,23,18.35368641,13.52,410,10.84726755,81.32198006,22.11978731,RP,69.21934093,24.8,45.07,2015
925,1494240021,23.7037037,12.3241817,10.75185185,1320,15.74635353,110.824826,31.65157031,RP,50.17677101,24.93,45.1,2015
895,1483237852,24.83870968,14.49974416,12.79677419,1550,25.59424119,187.5275387,53.55786505,RP,75.55235734,24.79,44.91,2016
909,1469227852,25,16.42128478,12.70714286,640,13.55451931,96.07160213,27.18891394,RP,96.12510888,24.61,44,2017
921,1472238021,25,10.53316757,10.15714286,1050,9.149495904,54.37696824,15.4948025,RP,44.17056526,24.65,44.92,2017
964,1539225821,25,13.84150074,14.23428571,1750,26.33263327,205.3248702,58.64078292,RP,100,25.49,43.82,2015
973,1490240021,27.89473684,16.27237662,14.72631579,830,17.26115882,163.7419204,46.76469247,RP,100,24.88,45.1,2015
913,1464239621,28.33333333,15.82957103,14.83333333,1410,27.74899676,225.1645876,59.12867531,RP,60.853268,24.54,45.07,2016
944,1490240052,29.42857143,14.38447964,10.55428571,1690,27.46407001,173.1845639,48.90604621,RP,93.49522286,24.88,45.1,2015
910,1482236821,29.67213115,12.62992154,11.43114754,3050,38.21123072,262.1172574,74.86068871,RP,70.7749211,24.77,44.81,2014
946,1462541653,30,18.96362747,17.38333333,600,16.94665398,140.8381152,40.2233657,RP,100,24.52,45.25,2016
986,1508239621,30,21.73641652,15.91071429,1220,45.27157536,357.4198255,102.0791022,RP,100,25.1,45.06,2014
950,1460239652,30.26315789,19.11358483,12.54473684,1600,45.90861181,368.5825188,104.8359987,RP,90.68065168,24.49,45.07,2014
915,1464241221,30.83333333,17.44269984,13.00833333,540,12.90360488,86.08024484,23.16533203,RP,73.31720881,24.54,45.21,2015
883,1468538053,31.66666667,14.84128349,10.24,1380,23.87326888,143.8783417,41.09558674,RP,77.8567724,24.6,44.92,2014
889,1508237221,33.33333333,19.44908783,17.1,570,16.93414259,168.9707758,48.29952828,RP,78.83316842,25.1,44.85,2017
941,1466541653,34.11764706,16.66432888,13.85882353,700,15.26734704,129.9195993,37.10503757,RP,100,24.57,45.25,2014
886,1508539624,35,23.97984686,17.9,360,16.25867661,167.3061206,47.62859035,RP,80.48323269,25.11,45.06,2014
971,1462240021,35,17.54746225,13.85833333,1020,24.66713364,201.6979526,57.12455419,RP,91.22322341,24.52,45.1,2016
932,1478540824,36,22.80848526,15.37666667,1200,49.03023964,397.421293,103.1952229,RP,57.57195812,24.73,45.17,2013
887,1474236852,41.15384615,18.7800426,12.68461538,650,18.00513509,112.3786486,31.97892765,RP,98.11361906,24.67,44.82,2014
960,1466237652,41.5625,17.43742507,18.328125,1450,34.62761598,359.6111047,102.7049315,RP,87.57183181,24.57,44.89,2017
919,1486239252,43.63636364,23.43157778,17.60909091,430,18.54220606,174.3524229,49.79505197,RP,68.70780536,24.82,45.03,2014
891,1490540824,48,16.95219724,13.984,1130,25.5047058,213.9852495,59.06087785,RP,33.22488804,24.88,45.17,2016
934,1490540853,49.45945946,17.41346306,14.22702703,1610,38.34299697,350.6966318,99.66528886,RP,74.71763482,24.88,45.18,2016
949,1512533253,55,23.98816482,16.85555556,390,17.62578777,138.7742074,39.63391364,RP,100,25.15,44.49,2017
957,1506237652,60,19.30423809,17.3826087,970,28.39010157,293.7783386,78.94043277,RP,65.70507591,25.08,44.89,2016
928,1472540453,65,49.22286054,20,40,7.611733424,63.56003104,18.15274487,RP,100,24.65,45.14,2013
