ads,location,age,dia,ht,nha,ba,vol,carbon,dom_sp,dom_sp_share,lat,long,year,biomass
K10,podernovo,47,42.69,35.9,275,39.37,583.8794,171.9816773,PM,100,43.76773501,11.56978359,2014,343.9633545
L04,podernovo,50,42.82,32.7,249.6,35.95,576.462,169.7968821,PM,100,43.78067588,11.57364352,2014,339.5937642
L05,podernovo,51,38.36,31.4,427.8,49.45,696.5942,205.1818216,PM,100,43.77850324,11.572171,2014,410.3636432
L06,podernovo,47,40.68,35.9,320.9,41.7,703.4377,207.1975745,PM,100,43.7756946,11.57375281,2014,414.3951491
L07,podernovo,49,39.61,31.8,402.3,49.57,646.2658,190.3575914,PM,100,43.77373009,11.57343244,2014,380.7151828
M02,podernovo,47,39.37,32.3,402.3,48.98,721.4311,212.4975305,PM,100,43.78429918,11.57546428,2014,424.995061
M03,podernovo,50,35.43,26.5,244.5,24.1,328.635,96.79943925,PM,100,43.78129506,11.57613054,2014,193.5988785
N04,podernovo,50,46.09,33.3,254.6,42.48,645.6322,190.1709645,PM,100,43.77955899,11.57805657,2014,380.341929
O04,podernovo,45,37.77,32.6,402.3,45.08,614.4805,180.9952313,PM,100,43.78015621,11.5815119,2014,361.9904626
P05,podernovo,48,47.46,36.7,203.7,36.03,601.3954,177.1410151,PM,100,43.77780927,11.58337414,2014,354.2820301
RIN14,Rincine,45,39.45,24.31,378,46.2,676.5,199.263075,PM,100,43.87575936,11.6256879,2016,398.52615
RIN18,Rincine,44,41.37,24.69,378,50.8,711,209.42505,PM,100,43.87391862,11.63039559,2016,418.8501
RIN19,Rincine,44,42.87,29.93,435,62.8,953.8,280.94179,PM,100,43.87358675,11.63633137,2016,561.88358
RIN21,Rincine,47,33.01,24.27,756,64.7,885.5,260.824025,PM,100,43.87295061,11.6247515,2016,521.64805
RIN24,Rincine,45,32.38,23.49,662,54.5,680.8,200.52964,PM,100,43.87115188,11.63007274,2016,401.05928
RIN44,Rincine,44,42.5,25.71,473,67.1,829.7,244.388135,PM,100,43.87206839,11.63382711,2016,488.77627
RIN7,Rincine,46,34.09,27.54,699,63.8,934.7,275.315885,PM,100,43.87758569,11.62538366,2016,550.63177
RINBB12,Rincine,30,24.14,24.38,1139,52.11,572.78,168.712349,PM,100,43.89080849,11.60955845,2019,337.424698
RINBB55,Rincine,38,29.64,29.9,1021,70.46,837.38,246.650279,PM,100,43.8718031,11.61080757,2019,493.300558
RINBB7,Rincine,30,24.37,24.67,1411,65.83,853.11,251.2835505,PM,100,43.8882085,11.61669701,2019,502.567101
Y07,podernovo,44,31.19,31.1,641.7,49.02,757.1941,223.0315222,PM,100,43.77436038,11.53639548,2014,446.0630443
