ads,location,age,dia,ht,nha,ba,vol,carbon,dom_sp,dom_sp_share,lat,long,year,biomass
VALL106,vallombrosa,91,24.62,14.05,1132,53.91,789.21,200.932866,AA,95.4,43.73751821,11.56507703,2016,401.865732
VALL1372,vallombrosa,185,36.01,25.47,358,36.46,1256.64,319.940544,AA,95.92,43.74387328,11.58098718,2019,639.881088
VALL18,vallombrosa,86,32.11,23.03,717,58.06,1507.42,383.789132,AA,95.93,43.7425059,11.57537597,2016,767.578264
VALL58,vallombrosa,94,31.08,19.52,849,64.42,1272.45,323.96577,AA,97.27,43.72566949,11.56307644,2015,647.93154
VALL850,vallombrosa,138,41.6,23.16,415,56.41,1608.6,409.54956,AA,97.71,43.73558476,11.55876171,2023,819.09912
VALL83,vallombrosa,93,28.48,18.79,868,55.3,1015.6,258.57176,AA,97.86,43.72723617,11.56387581,2015,517.14352
VALL468,vallombrosa,59,29.12,25.14,887,59.09,2958.3,753.18318,AA,97.88,43.72857192,11.54926682,2022,1506.36636
VALL107,vallombrosa,126,35.74,21.91,679,68.11,1008.47,256.756462,AA,98.1,43.73691157,11.56439561,2016,513.512924
VALL1174,vallombrosa,132,51.73,34.03,340,71.47,1860.59,473.706214,AA,98.32,43.74155855,11.55918671,2022,947.412428
VALL109,vallombrosa,96,40.07,23.96,623,78.58,1163.16,296.140536,AA,99.04,43.73515769,11.56115692,2016,592.281072
VALL10,vallombrosa,71,38.12,23.44,717,81.83,1949.9,496.44454,AA,99.1,43.74448627,11.57225036,2016,992.88908
VALL108,vallombrosa,116,34.63,27.44,623,58.68,1019.99,259.689454,AA,99.1,43.73687105,11.56313456,2016,519.378908
VALL45,vallombrosa,169,40.36,26.12,434,55.52,823.08,209.556168,AA,99.5,43.74009768,11.57265318,2016,419.112336
VALL902,vallombrosa,120,49.25,33.94,358,68.19,1896.61,482.876906,AA,99.52,43.73631757,11.55360577,2022,965.753812
VALL56,vallombrosa,103,35.87,25.73,736,74.37,1539.84,392.043264,AA,99.59,43.73028979,11.56347049,2015,784.086528
VALL1477,vallombrosa,75,30.5,23.08,453,33.09,1350.02,343.715092,AA,99.65,43.74599496,11.57449089,2019,687.430184
VALL527,vallombrosa,82,36.62,29.51,585,61.63,2267.62,577.336052,AA,99.7,43.72982961,11.5603644,2019,1154.672104
VALL111,vallombrosa,71,38.21,24.89,849,97.36,1234.99,314.428454,AA,99.78,43.73556764,11.5642926,2016,628.856908
VALL2180,vallombrosa,83,43.54,30.65,491,73.12,2535.02,645.416092,AA,99.8,43.75909127,11.57671147,2023,1290.832184
VALL39,vallombrosa,119,39.62,27.73,585,72.14,1652.87,420.820702,AA,99.8,43.74119303,11.5612127,2016,841.641404
VALL35,vallombrosa,119,39.46,27.83,547,66.89,1519.86,386.956356,AA,99.9,43.74174999,11.56232559,2016,773.912712
VALL420,vallombrosa,100,33.05,25.62,623,53.44,2235.13,569.064098,AA,99.91,43.72751505,11.5627719,2022,1138.128196
VALL110,vallombrosa,96,37.05,28.04,698,75.24,1158.36,294.918456,AA,99.98,43.73582898,11.56206638,2016,589.836912
VALL554,vallombrosa,94,39.87,27.96,604,75.4,2564.95,653.03627,AA,100,43.73038291,11.56233615,2019,1306.07254
VALL629,vallombrosa,77,36.87,28.81,604,64.48,2037.34,518.706764,AA,100,43.73207763,11.54642936,2022,1037.413528
VALL636,vallombrosa,88,40.33,29.5,491,62.72,2447.52,623.138592,AA,100,43.73158184,11.56345744,2023,1246.277184
VALL930,vallombrosa,138,55.81,37.11,283,69.23,2118.71,539.423566,AA,100,43.73723325,11.5575083,2023,1078.847132
VALL959,vallombrosa,128,43.27,34.58,472,69.41,2372.83,604.122518,AA,100,43.73739468,11.56104285,2022,1208.245036
VALL979,vallombrosa,94,34.9,29.69,660,63.15,2179.95,555.01527,AA,100,43.73826801,11.54646491,2022,1110.03054
VALL13,vallombrosa,84,20.95,15.35,1642,56.62,1676.15,426.74779,AA,94.78,43.74403438,11.57019827,2016,853.49558
