ads,location,age,dia,ht,nha,ba,vol,carbon,dom_sp,dom_sp_share,lat,long,year,biomass
RINBB49,Rincine,38,20.82,20.2,1310,44.6,448.45,186.01706,FS,100,43.88493866,11.63336506,2019,372.03412
RINBB5,Rincine,25,21.6,21.01,763,27.97,227.99,94.570252,FS,100,43.89132339,11.61246858,2019,189.140504
VALL1,vallombrosa,155,40.5,21.39,547,70.45,850.54,352.803992,FS,100,43.73122719,11.57140812,2015,705.607984
VALL101,vallombrosa,121,37.47,25.54,528,58.22,757.02,314.011896,FS,100,43.73784644,11.5717453,2016,628.023792
VALL102,vallombrosa,72,21.47,15.57,1264,45.78,498.35,206.71558,FS,100,43.73835237,11.56766884,2016,413.43116
VALL1089,vallombrosa,79,40.27,30.4,528,67.24,967.27,401.223596,FS,100,43.73965658,11.55086759,2022,802.447192
VALL12,vallombrosa,49,36.04,24.35,453,46.21,676.4,280.57072,FS,100,43.74356412,11.57292007,2016,561.14144
VALL1236,vallombrosa,76,22.84,20.1,1302,53.33,586.92,243.454416,FS,100,43.74192283,11.57737873,2019,486.908832
VALL1345,vallombrosa,185,39.02,27.49,434,51.89,749.72,310.983856,FS,100,43.7436182,11.57922321,2019,621.967712
VALL1400,vallombrosa,185,39.04,23.08,453,54.22,751.74,311.821752,FS,100,43.74492988,11.58265186,2019,623.643504
VALL1424,vallombrosa,174,39.58,26.47,415,51.07,827.52,343.255296,FS,100,43.74565502,11.57648833,2019,686.510592
VALL1427,vallombrosa,149,42.02,31.09,321,44.52,698.85,289.88298,FS,100,43.74480021,11.58343689,2019,579.76596
VALL1591,vallombrosa,123,28.64,11.66,717,46.19,336.13,139.426724,FS,100,43.74793763,11.58832115,2023,278.853448
VALL16,vallombrosa,165,28.86,21.51,698,45.67,606.77,251.688196,FS,100,43.74349096,11.57161016,2016,503.376392
VALL17,vallombrosa,87,22.82,20.2,1019,41.68,462.47,191.832556,FS,100,43.74334321,11.56888182,2016,383.665112
VALL1779,vallombrosa,137,36.61,23.65,679,71.46,883.16,366.334768,FS,100,43.7514933,11.58503068,2023,732.669536
VALL1857,vallombrosa,161,38.88,25.06,453,53.78,690.47,286.406956,FS,100,43.7527086,11.57898267,2023,572.813912
VALL204,vallombrosa,82,27.31,18.86,906,53.06,609.38,252.770824,FS,100,43.72401471,11.56324055,2022,505.541648
VALL253,vallombrosa,73,16.3,10.78,1358,28.33,272.85,113.17818,FS,100,43.75037339,11.57015501,2018,226.35636
VALL29,vallombrosa,156,41,27.33,302,39.87,619.46,256.952008,FS,100,43.74184162,11.56862214,2016,513.904016
VALL30,vallombrosa,72,25.12,22.93,1019,50.5,608.7,252.48876,FS,100,43.74182454,11.5635752,2016,504.97752
VALL31,vallombrosa,69,19.51,17.28,1057,31.59,411.18,170.557464,FS,100,43.74136918,11.57461823,2016,341.114928
VALL4,vallombrosa,71,24.7,26.98,868,41.59,574.02,238.103496,FS,100,43.74466799,11.56750212,2016,476.206992
VALL416,vallombrosa,153,30.87,18.58,736,55.07,557.05,231.06434,FS,100,43.74384905,11.58191504,2018,462.12868
VALL42,vallombrosa,90,28.58,23.26,472,30.28,375.76,155.865248,FS,100,43.74080941,11.56934121,2016,311.730496
VALL5,vallombrosa,157,26.23,12.76,698,37.73,325.01,134.814148,FS,100,43.7434286,11.57447527,2016,269.628296
VALL50,vallombrosa,81,45.63,30.58,151,24.69,383.25,158.9721,FS,100,43.73936052,11.57065573,2016,317.9442
VALL59,vallombrosa,155,17.05,10.46,2547,58.18,373.7,155.01076,FS,100,43.73394698,11.57054459,2015,310.02152
VALL6,vallombrosa,167,40.62,29.28,472,61.18,902.6,374.39848,FS,100,43.74518881,11.5742306,2016,748.79696
VALL61,vallombrosa,165,25.12,13.71,943,46.75,559.25,231.9769,FS,100,43.7328565,11.57037901,2015,463.9538
VALL66,vallombrosa,83,11.79,9.34,3321,36.24,224.19,92.994012,FS,100,43.73236579,11.57254924,2015,185.988024
VALL674,vallombrosa,68,17.75,16.32,1528,37.79,397.17,164.746116,FS,100,43.72197637,11.56868737,2018,329.492232
VALL675,vallombrosa,68,37.62,26.82,340,37.8,546.3,226.60524,FS,100,43.7218976,11.56740017,2018,453.21048
VALL75,vallombrosa,165,26.66,13.45,981,54.75,576.01,238.928948,FS,100,43.72936732,11.57320426,2015,477.857896
VALL76,vallombrosa,230,23.63,8.09,774,33.95,416.56,172.789088,FS,100,43.72950448,11.57111183,2015,345.578176
VALL855,vallombrosa,159,22.09,15.75,1396,53.52,425.92,176.671616,FS,100,43.73519089,11.57000034,2019,353.343232
