CODE,FOREST TYPE,3D_CMCC_FEM,References
AA,Abies alba,Abiesalba,NA
FS,Fagus sylvatica,Fagussylvatica,NA
PM,Pseudotsuga menziessi,Piceaabies,NO REF
PN,Pinus nigra,Pinuspinaster,"Mollicone et al., 2003"
QC,Quercus cerris,Quercuscerris,NA
