Year,Month,n_days,Rg_f,Ta_f,Tmax,Tmin,RH_f,Ts_f,Precip,SWC,LAI,ET,WS_f
2006,2,11,3.05301312,3.91400000000004,5.88300000000004,2.32600000000002,84.7282,-9999,7.14304224,-9999,-9999,-9999,2.93803
2006,2,12,2.38146048,1.52700000000004,4.66200000000003,-3.80599999999998,87.2918,-9999,3.50577504,-9999,-9999,-9999,1.78395
2006,2,13,10.7197344,-3.81199999999995,0.853000000000009,-7.33799999999997,60.2573,-9999,0,-9999,-9999,-9999,1.63521
2006,2,14,10.5526368,-3.07399999999996,4.88800000000003,-8.41699999999997,53.3582,-9999,0,-9999,-9999,-9999,1.25735
2006,2,15,8.7347808,-0.673000000000002,6.74600000000004,-5.34399999999999,78.7796,-9999,0,-9999,-9999,-9999,0.351629
2006,2,16,6.08592096,0.775000000000034,4.51100000000002,-2548,85.4245,-9999,0.486257472,-9999,-9999,-9999,1.42067
2006,2,17,4.87047168,2.70600000000002,6.03900000000004,0.451999999999998,88.0685,-9999,1.2203136,-9999,-9999,-9999,1.83089
2006,2,18,3.01353696,1.95400000000001,5.53300000000002,-2.49599999999998,82.8663,-9999,3.67898112,-9999,-9999,-9999,4.96654
2006,2,19,4.7086704,-1065,0.938000000000045,-2298,81084,-9999,4.79793888,-9999,-9999,-9999,4.2817
2006,2,20,4.15491552,-0.514999999999986,2.16400000000004,-2851,90.6359,-9999,4.526496,-9999,-9999,-9999,1.56097
2006,2,21,6.032448,1.12400000000002,3.57800000000003,-0.666999999999973,89.3553,-9999,0.91980576,-9999,-9999,-9999,3.09442
2006,2,22,8.44766496,2.11600000000004,7.43000000000001,-1.62299999999999,78.7356,-9999,1.38532896,-9999,-9999,-9999,2.04232
2006,2,23,6.20672544,2.25800000000004,5.18000000000001,-0.173999999999978,82.6713,-9999,0.736548768,-9999,-9999,-9999,1.22734
2006,2,24,12.035952,1.78900000000004,8.14800000000002,-1983,78.3927,-9999,0,-9999,-9999,-9999,0.302506
2006,2,25,12.5571168,3.02200000000005,10726,-2.00599999999997,78.3081,-9999,0,-9999,-9999,-9999,0.351994
2006,2,26,10.5115968,3.36600000000004,9.43700000000001,-0.178999999999974,85265,-9999,0,-9999,-9999,-9999,0.314425
2006,2,27,12.9914496,4.81300000000005,12427,-1.18399999999997,75.0669,-9999,0,-9999,-9999,-9999,2.00921
2006,2,28,7.8246,4834,8.87900000000002,2.34000000000003,79.9195,-9999,2.01219552,-9999,-9999,-9999,2.17503
2006,3,1,5.8464288,3.27600000000001,5.62100000000004,0.0670000000000073,79.6983,-9999,3.60389952,-9999,-9999,-9999,0.963376
2006,3,2,11.3387904,1.99000000000001,7.57800000000003,-1.10399999999998,70862,-9999,0,-9999,-9999,-9999,0.553415
2006,3,3,10.7316576,1.32800000000003,6.06200000000001,-1.73999999999995,69.5074,-9999,0.262571328,-9999,-9999,-9999,2.51812
2006,3,4,8.205408,-2.33599999999996,0.225999999999999,-5262,72.9298,-9999,2.89790784,-9999,-9999,-9999,3.91412
2006,3,5,10.4584608,-4065,-0.80499999999995,-6.00199999999995,73.6067,-9999,0.91210752,-9999,-9999,-9999,1.53167
2006,3,6,14.7939264,-3.10999999999996,4.31,-8.91199999999998,72.8733,-9999,0,-9999,-9999,-9999,0.898975
2006,3,7,14.1707232,-1.16499999999996,7.26900000000001,-7.18899999999996,70.0756,-9999,0,-9999,-9999,-9999,0.980254
2006,3,8,14.6436768,0.163000000000011,8666,-5.69999999999999,75.9083,-9999,0,-9999,-9999,-9999,0.87346
2006,3,9,15.0970176,1.71800000000002,9.43700000000001,-3.67899999999997,75.4264,-9999,0,-9999,-9999,-9999,0.455079
2006,3,10,15.19128,2.17100000000005,9.57800000000003,-2.36499999999995,73.6712,-9999,0,-9999,-9999,-9999,0.531752
2006,3,11,9.2381472,1.99900000000002,6005,-0.783999999999992,72.1438,-9999,0.488431296,-9999,-9999,-9999,1.58635
2006,3,12,9.2579328,0.57000000000005,3.35599999999999,-1.29299999999995,68.3331,-9999,1.07672544,-9999,-9999,-9999,2.02282
2006,3,13,11.5072704,-0.868999999999971,2.71500000000003,-3.83499999999998,68.2927,-9999,0.262607616,-9999,-9999,-9999,1.66378
2006,3,14,15.8750496,-2.30099999999999,3.29200000000003,-5899,66.8941,-9999,0,-9999,-9999,-9999,0.623217
2006,3,15,16.870896,-2625,4221,-7.54199999999997,66255,-9999,0,-9999,-9999,-9999,1.56658
2006,3,16,16.9053696,-0.505999999999972,6.61100000000005,-6959,60.4921,-9999,0,-9999,-9999,-9999,3.3665
2006,3,17,8.67672,3.20500000000004,6.77500000000003,-0.849999999999966,80.7792,-9999,4.7093616,-9999,-9999,-9999,3.43298
2006,3,18,10.1254752,3.18100000000004,7.59400000000005,-3.09299999999996,78.8499,-9999,1.732752,-9999,-9999,-9999,2.93287
2006,3,19,8.697024,1.99299999999999,6.38600000000002,-3.12599999999998,74.0775,-9999,0.180037728,-9999,-9999,-9999,2.51697
2006,3,20,7.435368,6.00900000000001,10286,3.40600000000001,89.5115,-9999,2.18379456,-9999,-9999,-9999,2.36352
2006,3,21,4.44636864,5.56400000000002,7.81400000000002,3.22400000000005,92.0721,-9999,11.3062176,-9999,-9999,-9999,2.26149
2006,3,22,8.381448,2.50600000000003,5005,-0.0609999999999786,82.5782,-9999,4.50193248,-9999,-9999,-9999,2.25292
2006,3,23,10.1522592,1.53200000000004,6.01600000000002,-2.06199999999995,76.9041,-9999,0.534330432,-9999,-9999,-9999,1.93431
2006,3,24,16.3323648,1.32000000000005,6.50800000000004,-4108,71.5788,-9999,0,-9999,-9999,-9999,2.00149
2006,3,25,7.48490112,2.26000000000005,5.20000000000005,-0.338999999999999,82823,-9999,5.64886656,-9999,-9999,-9999,3.58458
2006,3,26,12.9952512,-0.701999999999998,2726,-2.64999999999998,71.9993,-9999,0.610184448,-9999,-9999,-9999,2.32446
2006,3,27,9.5897952,3048,7.76000000000005,-2.06999999999999,72.1351,-9999,1.56955968,-9999,-9999,-9999,4.38264
2006,3,28,9.75456,6923,11862,3.61700000000002,88.4645,-9999,6.4764144,-9999,-9999,-9999,2.10436
2006,3,29,5.29149024,4.37100000000004,6.75800000000004,1.62300000000005,89.5474,-9999,20.0428128,-9999,-9999,-9999,1.91957
2006,3,30,16.492464,3846,9.43200000000002,0.432000000000016,74811,-9999,0,-9999,-9999,-9999,1.18706
2006,3,31,11.3435424,3815,7.98099999999999,1.20500000000004,82.6207,-9999,2.07931968,-9999,-9999,-9999,1.63391
2006,4,1,12.68352,1.71600000000001,5.72400000000005,-1.39999999999998,76914,-9999,0.496518336,-9999,-9999,-9999,1.96111
2006,4,2,19.6682688,0.591000000000008,6608,-3.62599999999998,67.5481,-9999,0,-9999,-9999,-9999,1.18429
2006,4,3,21.2815296,-0.19199999999995,7.00700000000001,-5678,60.9498,-9999,0,-9999,-9999,-9999,0.893949
2006,4,4,21.5785728,-0.245999999999981,7.30800000000005,-6.38099999999997,54.7561,-9999,0,-9999,-9999,-9999,0.98824
2006,4,5,20.6044992,1.63900000000001,8.96000000000004,-5.09899999999999,50.6596,-9999,0,-9999,-9999,-9999,0.553087
2006,4,6,20.6883936,4.52500000000003,12592,-1.99199999999996,51.1723,-9999,0,-9999,-9999,-9999,0.734801
2006,4,7,20.0511072,8.49000000000001,17129,0.472000000000037,57.1278,-9999,0,-9999,-9999,-9999,1.74841
2006,4,8,14.98392,9.38800000000003,15973,4.74000000000001,71421,-9999,0,-9999,-9999,-9999,1.00612
2006,4,9,17.8920576,11858,18928,5.26100000000002,74.5059,-9999,0,-9999,-9999,-9999,1.3424
2006,4,10,15.538176,12585,18186,8.74800000000005,75.6965,-9999,0.196302528,-9999,-9999,-9999,1.08114
2006,4,11,16.3433376,10746,17133,5.12900000000002,77.7406,-9999,4.15906272,-9999,-9999,-9999,4.23953
2006,4,12,20.8770912,7.86600000000004,14447,3.46600000000001,61.7892,-9999,0,-9999,-9999,-9999,1.63789
2006,4,13,15.8791104,11075,18527,4.15000000000003,60.4885,-9999,0,-9999,-9999,-9999,1.51035
2006,4,14,20.345472,11.69,17398,6.88300000000004,67.2951,-9999,0,-9999,-9999,-9999,0.860039
2006,4,15,6.84014112,9.78900000000004,11701,7923,86.2564,-9999,11.2387392,-9999,-9999,-9999,1.56881
2006,4,16,10.5916896,7.34500000000003,9.92200000000003,4.34400000000005,85.2197,-9999,4.3090272,-9999,-9999,-9999,4.84113
2006,4,17,21.5875584,8.78800000000001,15609,2.81200000000001,68.5306,-9999,0,-9999,-9999,-9999,1.10538
2006,4,18,16.6351968,13152,21213,6.46000000000004,66.4855,-9999,0,-9999,-9999,-9999,1.32952
2006,4,19,18.7287552,16823,25135,9.14500000000004,61.0639,-9999,0,-9999,-9999,-9999,1.51326
2006,4,20,14.123376,16272,21981,11617,61.4902,-9999,1.71653472,-9999,-9999,-9999,2.11326
2006,4,21,10.0977408,6.09200000000004,10531,2.76600000000002,77.8108,-9999,7.19645472,-9999,-9999,-9999,5.00327
2006,4,22,24.868944,6.44400000000002,13853,0.609000000000037,54.8542,-9999,0,-9999,-9999,-9999,1.66619
2006,4,23,21.6840672,9161,17225,0.503000000000043,45.5685,-9999,0,-9999,-9999,-9999,0.756706
2006,4,24,16.9148736,11.31,18428,6041,60.7188,-9999,0,-9999,-9999,-9999,0.928323
2006,4,25,17.588448,10258,16115,4.84000000000003,61.9891,-9999,0,-9999,-9999,-9999,0.82401
2006,4,26,17.498592,12055,18247,6.25100000000003,71.7723,-9999,0,-9999,-9999,-9999,1.72287
2006,4,27,11.37672,13735,19.3320000000001,10225,78.3854,-9999,1.06081056,-9999,-9999,-9999,1.62361
2006,4,28,5.69953152,8.63900000000001,10.91,4.68300000000005,91.3276,-9999,8.2438992,-9999,-9999,-9999,2.22919
2006,4,29,20.430576,6.63100000000003,11.98,2.25600000000003,64.7642,-9999,3.85275744,-9999,-9999,-9999,3.3115
2006,4,30,5.50140768,4298,6.27000000000004,2339,80.4013,-9999,16.4015712,-9999,-9999,-9999,4.36229
2006,5,1,7.95469248,2286,4.76400000000001,0.31800000000004,74.3222,-9999,8.30193408,-9999,-9999,-9999,4.81387
2006,5,2,20.0450592,6.35200000000003,12012,1.40300000000002,57.9403,-9999,0,-9999,-9999,-9999,4.16324
2006,5,3,27.0818208,8.83700000000005,15552,4.00100000000003,48.0245,-9999,0,-9999,-9999,-9999,2.32141
2006,5,4,23.0505696,10276,17.17,3.45700000000005,50.8762,-9999,0,-9999,-9999,-9999,0.857354
2006,5,5,18.7035264,10325,15229,6.70400000000001,63634,-9999,0.2042496,-9999,-9999,-9999,0.362522
2006,5,6,6.56682336,7.16200000000003,10101,4274,85.9704,-9999,10.915344,-9999,-9999,-9999,1.13204
2006,5,7,28.0853568,4.55100000000004,9.87700000000001,-0.433999999999969,52.7723,-9999,0,-9999,-9999,-9999,2.13258
2006,5,8,28.8827424,3.15000000000003,8.53900000000004,-2.45699999999999,35.9875,-9999,0,-9999,-9999,-9999,0.331821
2006,5,9,16.18272,6084,12021,0.112000000000023,54.2418,-9999,0.204505344,-9999,-9999,-9999,1.06083
2006,5,10,10.0143648,6.68800000000005,10234,3.40800000000002,87.7306,-9999,2.58614208,-9999,-9999,-9999,1.99217
2006,5,11,10.9525824,8.20800000000003,12037,5.67100000000005,88.9492,-9999,6.04435392,-9999,-9999,-9999,2.69073
2006,5,12,10.3045824,5.88100000000003,8.42700000000002,3.50900000000001,84.5189,-9999,5.05378656,-9999,-9999,-9999,3.34984
2006,5,13,18.6958368,7.78700000000003,12991,3.41800000000001,67578,-9999,0.495170496,-9999,-9999,-9999,1.91597
2006,5,14,14.5452672,10087,16291,5.76900000000001,81.4415,-9999,2.79101376,-9999,-9999,-9999,2.51056
2006,5,15,14.452128,7.65500000000003,11132,4.79600000000005,78.7842,-9999,1.97083584,-9999,-9999,-9999,3.4152
2006,5,16,11.3712768,6.59500000000003,10351,3.93900000000002,80.5086,-9999,2.960496,-9999,-9999,-9999,3.09723
2006,5,17,25.490592,9834,15772,4678,59.5843,-9999,0,-9999,-9999,-9999,2.85298
2006,5,18,28.6846272,11375,18033,5.97900000000004,48.9864,-9999,0,-9999,-9999,-9999,1.96949
2006,5,19,13.2837408,10618,15148,6.62300000000005,77.7471,-9999,1.90515456,-9999,-9999,-9999,1.23704
2006,5,20,24.3026784,12049,18143,7738,77.4267,-9999,0,-9999,-9999,-9999,1.77095
